,symbol,date,close,volume,change,percentChange
0,VZ,2021-01-29,54.75,26228500.0,-0.25,-0.455
1,VZ,2021-01-28,55.369999,24000800.0,0.37,0.673
2,VZ,2021-01-27,55.130001,37239000.0,-1.51,-2.666
3,VZ,2021-01-26,56.57,37892700.0,-0.42,-0.737
4,VZ,2021-01-25,58.419998,22444300.0,0.95,1.653
5,VZ,2021-01-22,57.470001,16364500.0,0.3,0.525
6,VZ,2021-01-21,57.27,13604900.0,0.08,0.14
7,VZ,2021-01-20,57.259998,19923100.0,0.25,0.439
8,VZ,2021-01-19,57.049999,18821300.0,-0.39,-0.679
9,VZ,2021-01-15,57.380001,15765900.0,0.6,1.057
10,VZ,2021-01-14,57.040001,18341100.0,0.15,0.264
11,VZ,2021-01-13,57.060001,16985400.0,-0.16,-0.28
12,VZ,2021-01-12,57.259998,22699300.0,-0.01,-0.017
13,VZ,2021-01-11,57.459999,15701500.0,-0.29,-0.502
14,VZ,2021-01-08,57.799999,28408000.0,-0.43,-0.738
15,VZ,2021-01-07,58.529999,19079900.0,0.26,0.446
16,VZ,2021-01-06,59.290001,22678500.0,0.48,0.816
17,VZ,2021-01-05,58.580002,16220000.0,-0.28,-0.476
18,VZ,2021-01-04,58.849998,19129800.0,-0.11,-0.187
19,VZ,2020-12-31,58.75,12900600.0,0.69,1.188
20,VZ,2020-12-30,58.139999,18259800.0,-0.69,-1.173
21,VZ,2020-12-29,58.810001,15686100.0,-0.22,-0.373
22,VZ,2020-12-28,58.98,15355600.0,-0.18,-0.304
23,VZ,2020-12-24,58.84,7751100.0,-0.16,-0.271
24,VZ,2020-12-23,58.959999,14012100.0,-0.24,-0.405
25,VZ,2020-12-22,58.990002,12951500.0,-0.33,-0.556
26,VZ,2020-12-21,59.490002,18567500.0,-0.57,-0.949
27,VZ,2020-12-18,60.459999,31909400.0,0.46,0.767
28,VZ,2020-12-17,60.009998,12095500.0,0.03,0.05
29,VZ,2020-12-16,59.91,17165900.0,-0.29,-0.482
30,VZ,2020-12-15,60.549999,15877200.0,0.48,0.799
31,VZ,2020-12-14,59.98,15706500.0,-0.63,-1.039
32,VZ,2020-12-11,60.349998,13673000.0,0.27,0.449
33,VZ,2020-12-10,60.509998,15464400.0,-0.75,-1.224
34,VZ,2020-12-09,61.459999,14949500.0,0.01,0.016
35,VZ,2020-12-08,61.450001,13421100.0,0.27,0.441
36,VZ,2020-12-07,61.349998,12537500.0,-0.17,-0.276
37,VZ,2020-12-04,61.549999,10495800.0,0.0,0.0
38,VZ,2020-12-03,61.740002,11937200.0,0.63,1.031
39,VZ,2020-12-02,61.360001,14169900.0,-0.04,-0.065
40,VZ,2020-12-01,60.580002,14283200.0,0.15,0.248
41,VZ,2020-11-30,60.41,21839100.0,0.09,0.149
42,VZ,2020-11-27,60.580002,5763700.0,0.06,0.099
43,VZ,2020-11-25,60.41,10604300.0,-0.26,-0.429
44,VZ,2020-11-24,60.639999,15481400.0,0.04,0.066
45,VZ,2020-11-23,60.23,11601400.0,0.22,0.367
46,VZ,2020-11-20,60.040001,14225400.0,-0.17,-0.282
47,VZ,2020-11-19,60.209999,12663000.0,-0.19,-0.315
48,VZ,2020-11-18,60.32,11698800.0,-0.81,-1.325
49,VZ,2020-11-17,60.75,11698200.0,0.19,0.314
50,VZ,2020-11-16,60.889999,14289400.0,0.08,0.132
51,VZ,2020-11-13,61.060001,10652800.0,0.43,0.709
52,VZ,2020-11-12,60.790001,13293300.0,-0.12,-0.197
53,VZ,2020-11-11,61.0,12196900.0,-0.29,-0.473
54,VZ,2020-11-10,61.099998,22051800.0,0.82,1.36
55,VZ,2020-11-09,59.84,24265900.0,-0.2,-0.333
56,VZ,2020-11-06,58.529999,11986200.0,0.45,0.775
57,VZ,2020-11-05,58.150002,20156400.0,0.14,0.241
58,VZ,2020-11-04,57.220001,20785700.0,0.03,0.052
59,VZ,2020-11-03,57.75,10693500.0,-0.06,-0.104
60,VZ,2020-11-02,57.700001,16086400.0,0.03,0.052
61,VZ,2020-10-30,56.990002,17632800.0,0.39,0.689
62,VZ,2020-10-29,56.759998,19146100.0,0.6,1.068
63,VZ,2020-10-28,56.310001,18720200.0,-0.61,-1.072
64,VZ,2020-10-27,57.380001,12253000.0,-0.32,-0.555
65,VZ,2020-10-26,57.810001,15196800.0,0.29,0.504
66,VZ,2020-10-23,57.959999,12879600.0,0.21,0.364
67,VZ,2020-10-22,57.330002,16636100.0,0.4,0.703
68,VZ,2020-10-21,56.75,21498300.0,-0.36,-0.63
69,VZ,2020-10-20,57.25,18696200.0,-0.29,-0.504
70,VZ,2020-10-19,57.299999,16075100.0,-0.85,-1.462
71,VZ,2020-10-16,58.049999,13364200.0,-0.03,-0.052
72,VZ,2020-10-15,58.16,13644500.0,0.05,0.086
73,VZ,2020-10-14,58.43,16596700.0,-1.03,-1.732
74,VZ,2020-10-13,59.360001,22109600.0,-0.34,-0.57
75,VZ,2020-10-12,59.549999,20211200.0,0.22,0.371
76,VZ,2020-10-09,59.330002,9846200.0,0.08,0.135
77,VZ,2020-10-08,59.189999,14266400.0,0.07,0.118
78,VZ,2020-10-07,59.610001,13674700.0,-0.01,-0.017
79,VZ,2020-10-06,59.459999,12524900.0,-0.3,-0.502
80,VZ,2020-10-05,59.66,10457400.0,0.03,0.05
81,VZ,2020-10-02,59.240002,10741800.0,-0.05,-0.084
82,VZ,2020-10-01,59.450001,14547100.0,0.05,0.084
83,VZ,2020-09-30,59.490002,16347800.0,0.03,0.05
84,VZ,2020-09-29,59.240002,10005900.0,-0.04,-0.067
85,VZ,2020-09-28,59.360001,11910500.0,-0.2,-0.336
86,VZ,2020-09-25,59.389999,10676300.0,0.54,0.918
87,VZ,2020-09-24,59.189999,10875300.0,0.19,0.322
88,VZ,2020-09-23,58.91,15416200.0,-0.92,-1.538
89,VZ,2020-09-22,59.82,12198900.0,0.09,0.151
90,VZ,2020-09-21,59.610001,15871400.0,-0.39,-0.65
91,VZ,2020-09-18,60.349998,22584500.0,0.17,0.282
92,VZ,2020-09-17,60.59,14996200.0,-0.01,-0.017
93,VZ,2020-09-16,60.369999,12699000.0,-0.16,-0.264
94,VZ,2020-09-15,60.599998,9444300.0,0.49,0.815
95,VZ,2020-09-14,60.32,11932500.0,0.3,0.5
96,VZ,2020-09-11,59.790001,13924800.0,0.21,0.352
97,VZ,2020-09-10,59.529999,15811200.0,-0.7,-1.162
98,VZ,2020-09-09,60.040001,15896200.0,-0.08,-0.133
99,VZ,2020-09-08,59.959999,18469700.0,-0.84,-1.382
100,VZ,2020-09-04,60.48,22250100.0,0.0,0.0
101,VZ,2020-09-03,60.610001,23126800.0,-0.22,-0.362
102,VZ,2020-09-02,60.529999,21711900.0,1.38,2.333
103,VZ,2020-09-01,59.16,13359400.0,0.04,0.068
104,VZ,2020-08-31,59.27,14555500.0,0.23,0.39
105,VZ,2020-08-28,59.259998,11873900.0,-0.15,-0.252
106,VZ,2020-08-27,59.43,11405300.0,-0.17,-0.285
107,VZ,2020-08-26,59.459999,15096400.0,0.16,0.27
108,VZ,2020-08-25,59.419998,11316800.0,-0.28,-0.469
109,VZ,2020-08-24,59.57,10931500.0,0.47,0.795
110,VZ,2020-08-21,58.990002,11059300.0,-0.01,-0.017
111,VZ,2020-08-20,58.959999,8061500.0,0.36,0.614
112,VZ,2020-08-19,59.049999,10816300.0,-0.31,-0.522
113,VZ,2020-08-18,59.18,10130600.0,0.32,0.544
114,VZ,2020-08-17,58.779999,8371900.0,0.05,0.085
115,VZ,2020-08-14,58.790001,8715900.0,0.31,0.53
116,VZ,2020-08-13,58.52,7428600.0,0.22,0.377
117,VZ,2020-08-12,58.599998,10804000.0,0.0,0.0
118,VZ,2020-08-11,58.509998,12833100.0,-0.79,-1.332
119,VZ,2020-08-10,58.990002,12114500.0,0.34,0.58
120,VZ,2020-08-07,58.529999,12779500.0,0.71,1.228
121,VZ,2020-08-06,57.830002,10369900.0,0.33,0.574
122,VZ,2020-08-05,57.540001,9811700.0,-0.62,-1.066
123,VZ,2020-08-04,57.91,11601000.0,0.71,1.241
124,VZ,2020-08-03,57.240002,13493400.0,-0.63,-1.089
125,VZ,2020-07-31,57.48,16202900.0,0.63,1.108
126,VZ,2020-07-30,57.299999,12635800.0,0.09,0.157
127,VZ,2020-07-29,57.450001,9341800.0,0.08,0.139
128,VZ,2020-07-28,57.48,13454700.0,0.43,0.754
129,VZ,2020-07-27,56.869999,12306700.0,-0.13,-0.228
130,VZ,2020-07-24,56.849998,17981700.0,0.5,0.887
