,symbols,names,exchange
0,SPY,SPDR S&P 500,NYSE Arca
1,CMCSA,Comcast Corp,Nasdaq Global Select
2,KMI,Kinder Morgan Inc,New York Stock Exchange
3,INTC,Intel Corp,Nasdaq Global Select
4,MU,Micron Technology Inc,Nasdaq Global Select
5,GDX,VanEck Vectors Gold Miners,NYSE Arca
6,GE,General Electric Co,New York Stock Exchange
7,BAC,Bank of America Corp,New York Stock Exchange
8,EEM,iShares MSCI Emerging Index Fund,NYSE Arca
9,XLF,SPDR Select Sector Fund - Financial,NYSE Arca
10,AAPL,Apple Inc,Nasdaq Global Select
11,MSFT,Microsoft Corp,Nasdaq Global Select
12,SIRI,Sirius XM Holdings Inc,Nasdaq Global Select
13,HPQ,HP Inc,New York Stock Exchange
14,CX,Cemex S.A.B. de C.V. Sponsored ADR,New York Stock Exchange
15,EFA,iShares MSCI EAFE,NYSE Arca
16,CZR,Caesars Entertainment Inc,Nasdaq Global Select
17,QQQ,PowerShares QQQ Trust Series 1,NASDAQ Global Market
18,F,Ford Motor Co,New York Stock Exchange
19,AMD,Advanced Micro Devices Inc,NASDAQ Capital Market
20,SNAP,Snap Inc,New York Stock Exchange
21,FB,Facebook Inc,Nasdaq Global Select
22,WFC,Wells Fargo & Co,New York Stock Exchange
23,AIG,American International Group Inc,New York Stock Exchange
24,T,AT&T Inc,New York Stock Exchange
25,C,Citigroup Inc,New York Stock Exchange
26,VALE,VALE S.A. American Depositary Shares Each Representing one,New York Stock Exchange
27,MS,Morgan Stanley,New York Stock Exchange
28,AKS,AK Steel Holding Corporation,New York Stock Exchange
29,JPM,JPMorgan Chase & Co,New York Stock Exchange
30,ORCL,Oracle Corp,New York Stock Exchange
31,NKE,Nike Inc,New York Stock Exchange
32,VWO,Vanguard FTSE Emerging Markets,NYSE Arca
33,PG,Procter & Gamble Co,New York Stock Exchange
34,FXI,iShares China Large-Cap,NYSE Arca
35,IWM,iShares Russell 2000,NYSE Arca
36,GSM,Ferroglobe PLC,Nasdaq Global Select
37,HK,Halcon Resources Corporation,New York Stock Exchange
38,BBD,Banco Bradesco Sa American Depositary Shares,New York Stock Exchange
39,PFE,Pfizer Inc,New York Stock Exchange
40,JD,JD.com Inc.,Nasdaq Global Select
41,NOK,Nokia Corporation Sponsored American Depositary Shares,New York Stock Exchange
42,TWTR,Twitter Inc,New York Stock Exchange
43,AMLP,Alerian MLP,NYSE Arca
44,AVGO,Broadcom Inc,Nasdaq Global Select
45,AMAT,Applied Materials Inc,Nasdaq Global Select
46,WFT,Weatherford International plc (Ireland),New York Stock Exchange
47,UVXY,ProShares Trust Ultra VIX Short Term Futures,NYSE Arca
48,DWDP,DowDuPont Inc.,New York Stock Exchange
49,VXX,iPath S&P 500 VIX Short Term Futures TM ETN,NYSE Arca
50,VEA,Vanguard FTSE Developed Markets,NYSE Arca
51,ZNGA,Zynga Inc,Nasdaq Global Select
